doc_id,title,path,published,summary,matched_query,xml_link,status,http_code,file
ukpga_2008_27,Climate Change Act 2008,ukpga/2008/27,2008-11-26T00:00:00+01:00,An Act to set a target for the year 2050 for the reduction of targeted greenhouse gas emissions; to provide for a system of carbon budgeting; to establish a Committee on Climate Change; to confer powers to establish trading schemes for the purpose of limiting greenhouse gas emissions or encouraging activities that reduce such emissions or remove greenhouse gas from the atmosphere; to make provision about adaptation to climate change; to confer powers to make schemes for providing financial incentives to produce less domestic waste and to recycle more of what is produced; to make provision about the collection of household waste; to confer powers to make provision about charging for single use carrier bags; to amend the provisions of the Energy Act 2004 about renewable transport fuel obligations; to make provision about carbon emissions reduction targets; to make other provision about climate change; and for connected purposes.,ukpga:climate change,http://www.legislation.gov.uk/ukpga/2008/27/2023-12-26/data.xml,success,200,corpus_raw\ukpga_2008_27.xml
ukpga_2006_19,Climate Change and Sustainable Energy Act 2006,ukpga/2006/19,2006-06-21T00:00:00+01:00,"An Act to make provision about the reduction of emissions of greenhouse gases, the alleviation of fuel poverty, the promotion of microgeneration and the use of heat produced from renewable sources, compliance with building regulations relating to emissions of greenhouse gases and the use of fuel and power, the renewables obligation relating to the generation and supply of electricity and the adjustment of transmission charges for electricity; and for connected purposes. 9",ukpga:climate change,http://www.legislation.gov.uk/ukpga/2006/19/2015-05-26/data.xml,success,200,corpus_raw\ukpga_2006_19.xml
ukpga_2003_33,Waste and Emissions Trading Act 2003,ukpga/2003/33,2003-11-13T00:00:00+01:00,An Act to make provision about waste and about penalties for non-compliance with schemes for the trading of emissions quotas.,ukpga:emissions trading,http://www.legislation.gov.uk/ukpga/2003/33/2024-01-01/data.xml,success,200,corpus_raw\ukpga_2003_33.xml
uksi_2026_280,The Climate Change Levy (Fuel Use and Recycling Processes) (Amendment) Regulations 2026,uksi/2026/280,2026-03-11T17:38:30.324468+01:00,"Climate change levy is charged on supplies of electricity, gas and solid fuels that are not for domestic or charity use. Supplies for non-fuel use are exempt.",uksi:climate change,http://www.legislation.gov.uk/uksi/2026/280/made/data.xml,success,200,corpus_raw\uksi_2026_280.xml
wsi_2025_1269,The Climate Change (Net Welsh Emissions Account Credit Limit) (Wales) Regulations 2025 / Rheoliadau Newid yn yr Hinsawdd (Terfyn Credyd Cyfrif Allyriadau Net Cymru) (Cymru) 2025,wsi/2025/1269,2025-12-04T12:59:57.298667+01:00,"These Regulations set a limit on the amount of carbon units that may be credited to the net Welsh emissions account, in accordance with section 33(4) of the Environment (Wales) Act 2016 (“the Act”).,Mae’r Rheoliadau hyn yn gosod terfyn ar swm yr unedau carbon y caniateir eu credydu i gyfrif allyriadau net Cymru, yn unol ag adran 33(4) o Ddeddf yr Amgylchedd (Cymru) 2016 (“y Ddeddf”).",uksi:climate change,http://www.legislation.gov.uk/wsi/2025/1269/made/data.xml,success,200,corpus_raw\wsi_2025_1269.xml
wsi_2025_1268,The Climate Change (Carbon Budget) (Wales) Regulations 2025 / Rheoliadau Newid yn yr Hinsawdd (Cyllideb Garbon) (Cymru) 2025,wsi/2025/1268,2025-12-04T11:08:38.765497+01:00,"The purpose of Part 2 of the Environment (Wales) Act 2016 (“the Act”) is to require the Welsh Ministers to meet targets for reducing net Welsh emissions of greenhouse gases from Wales. Section 29 of the Act places a duty upon the Welsh Ministers to ensure that net Welsh emissions for the year 2050 are at least 100% lower than the baseline emissions figures.,Diben Rhan 2 o Ddeddf yr Amgylchedd (Cymru) 2016 (“y Ddeddf”) yw ei gwneud yn ofynnol i Weinidogion Cymru gyrraedd targedau ar gyfer lleihau allyriadau net Cymru o nwyon tŷ gwydr o Gymru. Mae adran 29 o’r Ddeddf yn gosod dyletswydd ar Weinidogion Cymru i sicrhau bod allyriadau net Cymru ar gyfer y flwyddyn 2050 o leiaf 100% yn is na gwaelodlin y ffigurau allyriadau.",uksi:climate change;uksi:carbon,http://www.legislation.gov.uk/wsi/2025/1268/made/data.xml,success,200,corpus_raw\wsi_2025_1268.xml
uksi_2025_991,The Response to the Committee on Climate Change Report (Extension of Period) Order 2025,uksi/2025/991,2025-09-04T16:25:02.302365+01:00,"Under section 37 of the Climate Change Act 2008 (c. 27) (“the Act”) the Secretary of State must lay before Parliament a response to the points raised by the report of the Committee on Climate Change (the “Committee”) under section 36 of the Act. This Order extends the period within which the Secretary of State must lay the response to the Committee’s 2025 report, changing the final day of that period from 15th October 2025 to 29th October 2025.",uksi:climate change,http://www.legislation.gov.uk/uksi/2025/991/made/data.xml,success,200,corpus_raw\uksi_2025_991.xml
uksi_2025_813,The Climate Change Agreements (Administration and Eligible Facilities) (Amendment) Regulations 2025,uksi/2025/813,2025-07-09T16:49:35.79805+01:00,"These Regulations concern the scheme providing for a reduced rate of climate change levy (“CCL”) established under Part IV of Schedule 6 to the Finance Act 2000 (c. 17). A facility which receives supplies of energy and which has entered into a climate change agreement (a voluntary agreement between such a facility and the Environment Agency) must meet targets for energy use or emissions which are specified in the agreement during a target period. If it does, it is eligible for a reduced rate of CCL during the certification period which is specified in the agreement in relation to that target period. If a facility does not meet any target for a target period, it may pay a buy-out fee on each tonne of carbon dioxide equivalent by which it falls short of meeting that target, and thus remains eligible for the reduced CCL rate.",uksi:climate change,http://www.legislation.gov.uk/uksi/2025/813/made/data.xml,success,200,corpus_raw\uksi_2025_813.xml
uksi_2024_903,The Response to the Committee on Climate Change Report (Extension of Period) Order 2024,uksi/2024/903,2024-09-05T10:17:06.982007+01:00,"Under section 37 of the Climate Change Act 2008 (c. 27) (“the Act”) the Secretary of State must lay before Parliament a response to the points raised by the report of the Committee on Climate Change (the “Committee”) under section 36 of the Act. This Order extends the period within which the Secretary of State must lay the response to the Committee’s 2024 report, changing the final day of that period from 15th October 2024 to 19th December 2024.",uksi:climate change,http://www.legislation.gov.uk/uksi/2024/903/made/data.xml,success,200,corpus_raw\uksi_2024_903.xml
uksi_2023_1226,The Climate Change Agreements (Administration and Eligible Facilities) (Amendment) Regulations 2023,uksi/2023/1226,2023-11-20T11:23:45.930468+01:00,These Regulations extend the scheme providing for a reduced rate of Climate Change Levy until 31st March 2027. Part IV of Schedule 6 to the Finance Act 2000 makes provision for a reduced rate of Climate Change Levy to be charged if a facility which receives supplies of energy is certified as being covered by a Climate Change Agreement for a certification period.,uksi:climate change,http://www.legislation.gov.uk/uksi/2023/1226/made/data.xml,success,200,corpus_raw\uksi_2023_1226.xml
